Technique,Model,F1 Score,Parameters,Fold
RandomUnderSampler,DecisionTreeClassifier,0.6170417105179987,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",1
RandomUnderSampler,DecisionTreeClassifier,0.5974527329737002,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",2
RandomUnderSampler,DecisionTreeClassifier,0.6084193351415352,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",3
RandomUnderSampler,DecisionTreeClassifier,0.5969658399830013,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",4
RandomUnderSampler,DecisionTreeClassifier,0.6025330631284286,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",5
RandomUnderSampler,DecisionTreeClassifier,0.6048581201890105,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",6
RandomUnderSampler,DecisionTreeClassifier,0.5968844904475791,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",7
RandomUnderSampler,DecisionTreeClassifier,0.5696639950903724,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",8
RandomUnderSampler,DecisionTreeClassifier,0.5990557658735716,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",9
RandomUnderSampler,DecisionTreeClassifier,0.5657021723746267,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",10
RandomUnderSampler,DecisionTreeClassifier,0.6178284492269742,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",11
RandomUnderSampler,DecisionTreeClassifier,0.6018473083308142,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",12
RandomUnderSampler,DecisionTreeClassifier,0.6125706358860303,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",13
RandomUnderSampler,DecisionTreeClassifier,0.6057489174152921,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",14
RandomUnderSampler,DecisionTreeClassifier,0.6090104947742289,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",15
RandomUnderSampler,DecisionTreeClassifier,0.5901565643171436,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'random'}",16
RandomUnderSampler,DecisionTreeClassifier,0.6263840548286854,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'best'}",17
RandomUnderSampler,DecisionTreeClassifier,0.6108441323340206,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'random'}",18
