Technique,Model,F1 Score,Parameters,Fold
RandomUnderSampler,GaussianNB,0.6953098368184528,{'var_smoothing': 1e-09},1
RandomUnderSampler,GaussianNB,0.6953098368184528,{'var_smoothing': 1e-08},2
RandomUnderSampler,GaussianNB,0.6953098368184528,{'var_smoothing': 1e-07},3
RandomUnderSampler,GaussianNB,0.6953098368184528,{'var_smoothing': 1e-06},4
RandomUnderSampler,GaussianNB,0.6953098368184528,{'var_smoothing': 1e-05},5
RandomOverSampler,GaussianNB,0.7023466056413422,{'var_smoothing': 1e-09},1
RandomOverSampler,GaussianNB,0.7023466056413422,{'var_smoothing': 1e-08},2
RandomOverSampler,GaussianNB,0.7023466056413422,{'var_smoothing': 1e-07},3
RandomOverSampler,GaussianNB,0.7022878913124557,{'var_smoothing': 1e-06},4
RandomOverSampler,GaussianNB,0.7022878913124557,{'var_smoothing': 1e-05},5
SMOTE,GaussianNB,0.7280403245358561,{'var_smoothing': 1e-09},1
SMOTE,GaussianNB,0.7280403245358561,{'var_smoothing': 1e-08},2
SMOTE,GaussianNB,0.7280403245358561,{'var_smoothing': 1e-07},3
SMOTE,GaussianNB,0.7280403245358561,{'var_smoothing': 1e-06},4
SMOTE,GaussianNB,0.7281029366993657,{'var_smoothing': 1e-05},5
TomekLinks,GaussianNB,0.5284118577816512,{'var_smoothing': 1e-09},1
TomekLinks,GaussianNB,0.5284118577816512,{'var_smoothing': 1e-08},2
TomekLinks,GaussianNB,0.5284118577816512,{'var_smoothing': 1e-07},3
TomekLinks,GaussianNB,0.5284118577816512,{'var_smoothing': 1e-06},4
TomekLinks,GaussianNB,0.5284118577816512,{'var_smoothing': 1e-05},5
NearMiss,GaussianNB,0.5690191301619412,{'var_smoothing': 1e-09},1
NearMiss,GaussianNB,0.5690191301619412,{'var_smoothing': 1e-08},2
NearMiss,GaussianNB,0.5690191301619412,{'var_smoothing': 1e-07},3
NearMiss,GaussianNB,0.5690191301619412,{'var_smoothing': 1e-06},4
NearMiss,GaussianNB,0.5690191301619412,{'var_smoothing': 1e-05},5
None,GaussianNB,0.5123852329367404,{'var_smoothing': 1e-09},1
None,GaussianNB,0.5123852329367404,{'var_smoothing': 1e-08},2
None,GaussianNB,0.5123852329367404,{'var_smoothing': 1e-07},3
None,GaussianNB,0.5123852329367404,{'var_smoothing': 1e-06},4
None,GaussianNB,0.5123852329367404,{'var_smoothing': 1e-05},5
