Technique,Model,F1 Score,Parameters,Fold
RandomUnderSampler,KNeighborsClassifier,0.6464264649751852,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",1
RandomUnderSampler,KNeighborsClassifier,0.6464264649751852,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",2
RandomUnderSampler,KNeighborsClassifier,0.6405885332860733,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",3
RandomUnderSampler,KNeighborsClassifier,0.6405885332860733,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",4
RandomUnderSampler,KNeighborsClassifier,0.6641316571486822,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",5
RandomUnderSampler,KNeighborsClassifier,0.6641316571486822,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",6
RandomUnderSampler,KNeighborsClassifier,0.6577582842341876,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",7
RandomUnderSampler,KNeighborsClassifier,0.6577582842341876,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",8
RandomUnderSampler,KNeighborsClassifier,0.6839955672962944,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",9
RandomUnderSampler,KNeighborsClassifier,0.6839955672962944,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",10
RandomUnderSampler,KNeighborsClassifier,0.6705702468979401,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",11
RandomUnderSampler,KNeighborsClassifier,0.6705702468979401,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",12
RandomUnderSampler,KNeighborsClassifier,0.690369028617734,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",13
RandomUnderSampler,KNeighborsClassifier,0.690369028617734,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",14
RandomUnderSampler,KNeighborsClassifier,0.6813393572493923,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",15
RandomUnderSampler,KNeighborsClassifier,0.6813393572493923,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",16
RandomUnderSampler,KNeighborsClassifier,0.6971468796185097,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",17
RandomUnderSampler,KNeighborsClassifier,0.6971512219007555,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",18
RandomUnderSampler,KNeighborsClassifier,0.6841298483860416,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",19
RandomUnderSampler,KNeighborsClassifier,0.6841298483860416,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",20
RandomUnderSampler,KNeighborsClassifier,0.6405885332860733,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",21
RandomUnderSampler,KNeighborsClassifier,0.6405885332860733,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",22
RandomUnderSampler,KNeighborsClassifier,0.6405885332860733,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",23
RandomUnderSampler,KNeighborsClassifier,0.6405885332860733,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",24
RandomUnderSampler,KNeighborsClassifier,0.6577582842341876,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",25
