ApplicationDate,Age,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,LoanApproved
2041-05-04,19,538,Employed,Bachelor,0,29668,72,Married,5,Rent,453,0.2629576096179838,4,1,0.834982097971747,0,Other,0,26,17,2284,401,4572,41213,0.9714684614930555,4,3310,0.275668,0.2205344,746.3833254001495,0
2069-05-11,36,605,Employed,High School,17,8858,96,Divorced,3,Other,201,0.3538310495089031,3,0,0.0573415028926866,0,Education,0,17,28,4879,1001,52377,29475,0.8726108252459214,6,22902,0.241358,0.2436891082866138,210.4267954940319,0
2060-06-29,40,616,Employed,High School,20,12622,48,Married,4,Own,394,0.282432684185447,4,1,0.368006995406505,0,Other,0,33,23,1867,21035,77380,21863,0.8491453426102449,5,55517,0.199622,0.2165492672229199,395.3088964739386,0
2070-11-10,42,556,Employed,Doctorate,22,18041,48,Widowed,0,Mortgage,493,0.3876453042201885,2,0,0.5756843501835864,0,Debt Consolidation,0,27,7,2501,3847,32204,18362,0.9118771922193808,4,13842,0.235041,0.2338090823472281,582.0121481289095,0
2069-12-22,31,596,Employed,High School,12,13725,12,Divorced,2,Rent,400,0.3333005360608158,3,1,0.2570947520730581,0,Home,0,21,4,1882,1167,34194,17571,0.865122931759594,5,16623,0.180725,0.1776126761382513,1256.7490496657429,0
2064-06-28,40,616,Employed,High School,16,16703,72,Single,3,Rent,288,0.5072955295837553,2,1,0.4281584047794031,0,Home,0,27,4,5434,597,77859,8974,0.8230931793003928,5,68885,0.223703,0.2331588456414037,432.82638982167776,0
2072-03-01,30,545,Employed,Associate,8,18402,24,Married,3,Rent,325,0.5283973058158471,3,0,0.1000849973042578,0,Home,0,24,16,8617,2061,137396,115607,0.7585253375783463,8,21789,0.220902,0.19206528637294,929.4669197707054,0
2069-08-22,52,645,Employed,Master,29,10546,12,Married,1,Rent,413,0.1288415278434882,3,2,0.0729626343169237,0,Home,0,28,19,1983,3085,59780,75702,0.8827840276472272,5,10290,0.153046,0.1753029322071637,964.5013193495898,1
2022-09-16,34,603,Self-Employed,Associate,10,22254,48,Single,1,Own,485,0.2307049606206142,2,0,0.2857061932397591,0,Home,0,20,6,2347,1597,25414,17124,0.9682643448154706,7,8290,0.215754,0.1858812505952022,660.5702034827813,0
2033-11-23,41,588,Employed,Bachelor,20,20321,48,Single,2,Mortgage,189,0.1016620197952915,2,0,0.4540378694656222,0,Home,0,25,15,2616,2346,34818,20472,0.5282925211226972,9,14346,0.221321,0.2511469883441157,675.086639686157,1
